Name,Start,End,Number of Tracks,Length,Electrified,Min Curvature,Speed Limit Track,Speed Limit,Speed Limit Double Tilt,Speed Limit Tilt,Speed Curve,Speed Curve Double Tilt,Speed Curve Tilt
Illawara,Thirroul Station South,Thirroul Bend,2,290,Yes,0,200,200,200,200,200,200,200
Illawara,Thirroul Bend,Thirroul Curve,2,400,Yes,500,200,85,105,115,85,105,115
Illawara,Thirroul Curve,Bulli Straight,2,540,Yes,800,200,110,135,145,110,135,145
Illawara,Bulli Straight,Bulli Station North,2,510,Yes,2700,200,200,200,200,200,200,200
Bulli Station,Bulli Station North,Bulli Station South,2,200,Yes,0,200,200,200,200,200,200,200
Illawara,Bulli Station South,Woonona Straight,2,1280,Yes,800,200,110,135,145,110,135,145
Illawara,Woonona Straight,Woonona Station North,2,390,Yes,0,200,200,200,200,200,200,200
Woonona Station,Woonona Station North,Woonona Station South,2,190,Yes,0,200,200,200,200,200,200,200
Illawara,Woonona Station South,Bellambi Station North,2,1360,Yes,0,200,200,200,200,200,200,200
Bellambi Station,Bellambi Station North,Bellambi Station South,2,160,Yes,0,200,200,200,200,200,200,200
Illawara,Bellambi Station South,Corrimal Station North,2,1290,Yes,0,200,200,200,200,200,200,200
Corrimal Station,Corrimal Station North,Corrimal Station South,2,160,Yes,0,200,200,200,200,200,200,200
Illawara,Corrimal Station South,Towradgi Station North,2,890,Yes,0,200,200,200,200,200,200,200
Towradgi Station,Towradgi Station North,Towradgi Station South,2,180,Yes,0,200,200,200,200,200,200,200
Illawara,Towradgi Station South,Fairy Meadow Station North,2,1160,Yes,0,200,200,200,200,200,200,200
Fairy Meadow Station,Fairy Meadow Station North,Fairy Meadow Station South,2,160,Yes,0,200,200,200,200,200,200,200
Illawara,Fairy Meadow Station South,Fairy Meadow Straight,2,710,Yes,1600,200,155,195,200,155,195,200
Illawara,Fairy Meadow Straight,North Wollongong Station North,2,1020,Yes,0,200,200,200,200,200,200,200
North Wollongong Station,North Wollongong Station North,North Wollongong Station South,2,200,Yes,0,200,200,200,200,200,200,200
Illawara,North Wollongong Station South,Wollongong Station North,2,1410,Yes,0,200,200,200,200,200,200,200
Wollongong Station,Wollongong Station North,Wollongong Station South,2,200,Yes,0,200,200,200,200,200,200,200
Illawara,Wollongong Station South,Wollongong Curve,4,790,Yes,0,200,200,200,200,200,200,200
Illawara,Wollongong Curve,Coniston Station North,2,240,Yes,1100,200,130,160,175,130,160,175
Coniston Station,Coniston Station North,Coniston Station South,2,180,Yes,1100,200,130,160,175,130,160,175
Illawara,Coniston Station South,Coniston Junction North,2,50,Yes,1100,200,130,160,175,130,160,175
Coniston Junction,Coniston Junction North,Port Kembla Terminal,2,320,Yes,200,200,50,65,70,50,65,70
Coniston Junction,Coniston Junction North,Port Kembla Split,2,190,Yes,1100,200,130,160,175,130,160,175
Coniston Junction,Port Kembla Split,Port Kembla Merge East,1,290,Yes,1100,200,130,160,175,130,160,175
Coniston Junction,Port Kembla Merge East,Port Kembla Merge West,3,590,Yes,1100,200,130,160,175,130,160,175
Coniston Junction,Port Kembla Terminal,Port Kembla Terminal Bend,2,250,Yes,150,200,45,55,60,45,55,60
Coniston Junction,Port Kembla Terminal Bend,Port Kembla Merge East,2,180,Yes,1100,200,130,160,175,130,160,175
Coniston Junction,Port Kembla Split,Coniston Junction Straight,2,610,Yes,500,200,85,105,115,85,105,115
Coniston Junction,Coniston Junction Straight,Port Kembla Merge South,2,490,Yes,0,200,200,200,200,200,200,200
Coniston Junction,Port Kembla Merge West,Port Kembla Merge South,1,760,Yes,300,200,65,80,85,65,80,85
Illawara,Port Kembla Merge West,Unanderra Curve,2,790,Yes,1800,200,165,200,200,165,200,200
Illawara,Unanderra Curve,Unanderra Branch,2,1610,Yes,3300,200,200,200,200,200,200,200
Illawara,Unanderra Branch,Unanderra Station North,4,500,Yes,3300,200,200,200,200,200,200,200
Unanderra Station,Unanderra Station North,Unanderra Station South,4,140,Yes,0,200,200,200,200,200,200,200
Illawara,Unanderra Station South,Unanderra Split,3,670,Yes,0,200,200,200,200,200,200,200
Illawara,Unanderra Split,Nolan Street Curve,1,370,Yes,0,200,200,200,200,200,200,200
Illawara,Nolan Street Curve,Kembla Grange Straight,1,930,Yes,1800,200,165,200,200,165,200,200
Illawara,Kembla Grange Straight,Kembla Grange Curve,1,1060,Yes,0,200,200,200,200,200,200,200
Illawara,Kembla Grange Curve,Kembla Grange Station East,1,160,Yes,1800,200,165,200,200,165,200,200
Kembla Grange Station,Kembla Grange Station East,Kembla Grange Station West,1,120,Yes,1800,200,165,200,200,165,200,200
Illawara,Kembla Grange Station West,Kembla Grange Straight South,1,660,Yes,1800,200,165,200,200,165,200,200
Illawara,Kembla Grange Straight South,Darkes Road Split,1,1370,Yes,0,200,200,200,200,200,200,200
Illawara,Darkes Road Split,Dapto North,1,870,Yes,0,200,200,200,200,200,200,200
Illawara,Dapto North,Dapto Station North,2,380,Yes,0,200,200,200,200,200,200,200
Dapto Station,Dapto Station North,Dapto Station South,2,200,Yes,0,200,200,200,200,200,200,200
Illawara,Dapto Station South,Dapto Curve,1,1640,Yes,0,200,200,200,200,200,200,200
Illawara,Dapto Curve,Dapto Straight,1,980,Yes,1800,200,165,200,200,165,200,200
Illawara,Dapto Straight,Haywards Bay Bend,1,1780,Yes,0,200,200,200,200,200,200,200
Illawara,Haywards Bay Bend,Haywards Bay Straight,1,970,Yes,3500,200,200,200,200,200,200,200
Illawara,Haywards Bay Straight,Creamery Road Bridge,1,2560,Yes,0,200,200,200,200,200,200,200
Illawara,Creamery Road Bridge,Albion Park Station North,2,160,Yes,0,200,200,200,200,200,200,200
Albion Park Station,Albion Park Station North,Albion Park Station South,2,200,Yes,800,200,110,135,145,110,135,145
Illawara,Albion Park Station South,Albion Park Straight,1,330,Yes,800,200,110,135,145,110,135,145
Illawara,Albion Park Straight,Oak Flats Station West,1,1820,Yes,0,200,200,200,200,200,200,200
Oak Flats Station,Oak Flats Station West,Oak Flats Station East,1,200,Yes,0,200,200,200,200,200,200,200
Illawara,Oak Flats Station East,Oak Flats Curve,1,830,Yes,0,200,200,200,200,200,200,200
Illawara,Oak Flats Curve,Oak Flats Bend,1,1330,Yes,1600,200,155,195,200,155,195,200
Illawara,Oak Flats Bend,Shellharbour Straight,1,910,Yes,700,200,100,125,135,100,125,135
Illawara,Shellharbour Straight,Shellharbour Station North,2,110,Yes,0,200,200,200,200,200,200,200
Shellharbour Station,Shellharbour Station North,Shellharbour Station South,2,170,Yes,0,200,200,200,200,200,200,200
Illawara,Shellharbour Station South,Dunmore Sand and Soil,2,1750,Yes,0,200,200,200,200,200,200,200
Illawara,Dunmore Sand and Soil,Minnamurra Bridge,1,1810,Yes,1200,200,135,165,180,135,165,180
Illawara,Minnamurra Bridge,Minnamurra Straight,1,260,Yes,600,200,95,115,125,95,115,125
Illawara,Minnamurra Straight,Minnamurra Station North,1,380,Yes,0,200,200,200,200,200,200,200
Minnamurra Station,Minnamurra Station North,Minnamurra Station South,1,200,Yes,0,200,200,200,200,200,200,200
Illawara,Minnamurra Station South,Eureka Avenue Straight,1,820,Yes,600,200,95,115,125,95,115,125
Illawara,Eureka Avenue Straight,Minnamurra Bend,1,530,Yes,0,200,200,200,200,200,200,200
Illawara,Minnamurra Bend,Cathedral Rocks Straight,1,440,Yes,500,200,85,105,115,85,105,115
Illawara,Cathedral Rocks Straight,Cathedral Rocks Curve,1,630,Yes,0,200,200,200,200,200,200,200
Illawara,Cathedral Rocks Curve,Boneyard Bend,1,330,Yes,800,200,110,135,145,110,135,145
Illawara,Boneyard Bend,Bombo Curve,1,510,Yes,300,200,65,80,85,65,80,85
Illawara,Bombo Curve,Bombo Quarry,1,470,Yes,800,200,110,135,145,110,135,145
Illawara,Bombo Quarry,Bombo Station North,1,210,Yes,2100,200,180,200,200,180,200,200
Bombo Station,Bombo Station North,Bombo Station South,2,200,Yes,2100,200,180,200,200,180,200,200
Illawara,Bombo Station South,Spring Creek Bridge,2,350,Yes,0,200,200,200,200,200,200,200
Illawara,Spring Creek Bridge,Kiama Curve,1,850,Yes,700,200,100,125,135,100,125,135
Illawara,Kiama Curve,Kiama Station North,1,290,Yes,300,200,65,80,85,65,80,85
Kiama Station,Kiama Station North,Kiama Station South,2,200,Yes,0,200,200,200,200,200,200,200
Illawara,Kiama Station South,Kiama South Curve,2,580,No,0,200,200,200,200,200,200,200
Illawara,Kiama South Curve,Kiama Straight,1,870,No,1300,200,140,175,190,140,175,190
Illawara,Kiama Straight,Loves Bay Curve,1,1440,No,0,200,200,200,200,200,200,200
Illawara,Loves Bay Curve,Train Walking Lookout,1,1070,No,1700,200,160,200,200,160,200,200
Illawara,Train Walking Lookout,Bare Bluff Bend,1,520,No,300,200,65,80,85,65,80,85
Illawara,Bare Bluff Bend,Ocean Farm Curve,1,630,No,800,200,110,135,145,110,135,145
Illawara,Ocean Farm Curve,Werri Beach Straight,1,1900,No,1800,200,165,200,200,165,200,200
Illawara,Werri Beach Straight,Gerringong Curve,1,2040,No,0,200,200,200,200,200,200,200
Illawara,Gerringong Curve,Gerringong Station North,1,190,No,1400,200,145,180,195,145,180,195
Gerringong Station,Gerringong Station North,Gerringong Station South,1,80,No,1400,200,145,180,195,145,180,195
Illawara,Gerringong Station South,Crooked River Straight,1,580,No,1400,200,145,180,195,145,180,195
Illawara,Crooked River Straight,Blue Angle Creek,1,5500,No,0,200,200,200,200,200,200,200
Illawara,Blue Angle Creek,Ashworth Farm Straight,1,710,No,1100,200,130,160,175,130,160,175
Illawara,Ashworth Farm Straight,Toolijooa Road Curve,1,1030,No,0,200,200,200,200,200,200,200
Illawara,Toolijooa Road Curve,Toolijooa Road Straight,1,1080,No,1200,200,135,165,180,135,165,180
Illawara,Toolijooa Road Straight,David Berry Bend,1,1560,No,0,200,200,200,200,200,200,200
Illawara,David Berry Bend,David Berry Straight,1,410,No,500,200,85,105,115,85,105,115
Illawara,David Berry Straight,Berry Curve,1,1190,No,0,200,200,200,200,200,200,200
Illawara,Berry Curve,Berry Station East,1,160,No,1000,200,125,150,165,125,150,165
Berry Station,Berry Station East,Berry Station West,2,110,No,0,200,200,200,200,200,200,200
Illawara,Berry Station West,Berry Straight,2,230,No,0,200,200,200,200,200,200,200
Illawara,Berry Straight,Berry Bend,1,480,No,0,200,200,200,200,200,200,200
Illawara,Berry Bend,Berry South Straight,1,690,No,700,200,100,125,135,100,125,135
Illawara,Berry South Straight,Jaspers Creek Bend,1,2490,No,0,200,200,200,200,200,200,200
Illawara,Jaspers Creek Bend,Jaspers Brush Bend,1,1090,No,800,200,110,135,145,110,135,145
Illawara,Jaspers Brush Bend,Jaspers Brush Straight,1,540,No,600,200,95,115,125,95,115,125
Illawara,Jaspers Brush Straight,Bomaderry Freight Yard,1,6820,No,3000,200,200,200,200,200,200,200
Illawara,Bomaderry Freight Yard,Bomaderry Station North,2,70,No,0,200,200,200,200,200,200,200
Bomaderry Station,Bomaderry Station North,Bomaderry Station South,2,110,No,0,200,200,200,200,200,200,200
Airport,Central Airport Branch,Airport Branch Straight,2,380,Yes,500,200,85,105,115,85,105,115
Airport,Airport Branch Straight,Green Square Bend,2,1560,Yes,1400,200,145,180,195,145,180,195
Airport,Green Square Bend,Green Square Station East,2,340,Yes,200,200,50,65,70,50,65,70
Green Square Station,Green Square Station East,Green Square Station West,2,160,Yes,0,200,200,200,200,200,200,200
Airport,Green Square Station West,Mascot Station North,2,2250,Yes,1700,200,160,200,200,160,200,200
Mascot Station,Mascot Station North,Mascot Station South,2,160,Yes,0,200,200,200,200,200,200,200
Airport,Mascot Station South,Domestic Airport Bend,2,780,Yes,0,200,200,200,200,200,200,200
Airport,Domestic Airport Bend,Domestic Airport Station East,2,490,Yes,400,200,75,95,100,75,95,100
Domestic Airport Station,Domestic Airport Station East,Domestic Airport Station West,2,160,Yes,0,200,200,200,200,200,200,200
Airport,Domestic Airport Station West,International Airport Station East,2,1200,Yes,0,200,200,200,200,200,200,200
International Airport Station,International Airport Station East,International Airport Station West,2,160,Yes,0,200,200,200,200,200,200,200
Airport,International Airport Station West,Wolli Creek Station Underground East,2,1220,Yes,600,200,95,115,125,95,115,125
Wolli Creek Underground Station,Wolli Creek Station Underground East,Wolli Creek Station Underground West,2,160,Yes,800,200,110,135,145,110,135,145
Wolli Creek Junction,Wolli Creek Station Underground West,Wolli Creek Split,2,100,Yes,800,200,110,135,145,110,135,145
Wolli Creek Junction,Wolli Creek Station Ground North,Wolli Creek Split,2,240,Yes,400,200,75,95,100,75,95,100
East Hills,Wolli Creek Split,Turrella Straight,4,760,Yes,500,200,85,105,115,85,105,115
East Hills,Turrella Straight,Turrella Station East,4,330,Yes,0,200,200,200,200,200,200,200
Turrella Station,Turrella Station East,Turrella Station West,4,160,Yes,0,200,200,200,200,200,200,200
East Hills,Turrella Station West,Turrella Curve,4,440,Yes,0,200,200,200,200,200,200,200
East Hills,Turrella Curve,Bardwell Park Station East,4,850,Yes,500,200,85,105,115,85,105,115
Bardwell Park Station,Bardwell Park Station East,Bardwell Park Station West,4,160,Yes,500,200,85,105,115,85,105,115
East Hills,Bardwell Park Station West,Bexley North Bend,4,800,Yes,1000,200,125,150,165,125,150,165
East Hills,Bexley North Bend,Bexley North Station East,4,310,Yes,600,200,95,115,125,95,115,125
Bexley North Station,Bexley North Station East,Bexley North Station West,4,160,Yes,1100,200,130,160,175,130,160,175
East Hills,Bexley North Station West,Kingsgrove Station East,4,1090,Yes,1100,200,130,160,175,130,160,175
Kingsgrove Station,Kingsgrove Station East,Kingsgrove Station West,4,160,Yes,0,200,200,200,200,200,200,200
East Hills,Kingsgrove Station West,Beverly Hills Straight,4,1080,Yes,1100,200,130,160,175,130,160,175
East Hills,Beverly Hills Straight,Beverly Hills Station East,4,730,Yes,0,200,200,200,200,200,200,200
Beverly Hills Station,Beverly Hills Station East,Beverly Hills Station West,4,210,Yes,0,200,200,200,200,200,200,200
East Hills,Beverly Hills Station West,Narwee Straight,4,570,Yes,700,200,100,125,135,100,125,135
East Hills,Narwee Straight,Narwee Station East,4,390,Yes,0,200,200,200,200,200,200,200
Narwee Station,Narwee Station East,Narwee Station West,4,170,Yes,500,200,85,105,115,85,105,115
East Hills,Narwee Station West,Riverwood Straight,4,260,Yes,500,200,85,105,115,85,105,115
East Hills,Riverwood Straight,Riverwood Station East,4,1290,Yes,0,200,200,200,200,200,200,200
Riverwood Station,Riverwood Station East,Riverwood Station West,4,160,Yes,0,200,200,200,200,200,200,200
East Hills,Riverwood Station West,Riverwood Curve,4,190,Yes,0,200,200,200,200,200,200,200
East Hills,Riverwood Curve,Basil Reserve,4,320,Yes,1200,200,135,165,180,135,165,180
East Hills,Basil Reserve,Salt Pan Creek Bend,4,540,Yes,0,200,200,200,200,200,200,200
East Hills,Salt Pan Creek Bend,Padstow Park Bend,4,240,Yes,1200,200,135,165,180,135,165,180
East Hills,Padstow Park Bend,Padstow Station East,4,380,Yes,0,200,200,200,200,200,200,200
Padstow Station,Padstow Station East,Padstow Station West,4,160,Yes,0,200,200,200,200,200,200,200
East Hills,Padstow Station West,Revesby Station East,4,1460,Yes,0,200,200,200,200,200,200,200
Revesby Station,Revesby Station East,Revesby Station West,4,160,Yes,0,200,200,200,200,200,200,200
East Hills,Revesby Station West,Revesby Straight,4,290,Yes,2100,200,180,200,200,180,200,200
East Hills,Revesby Straight,Panania Station East,2,1140,Yes,0,200,200,200,200,200,200,200
Panania Station,Panania Station East,Panania Station West,2,160,Yes,0,200,200,200,200,200,200,200
East Hills,Panania Station West,East Hills Curve,2,930,Yes,1200,200,135,165,180,135,165,180
East Hills,East Hills Curve,East Hills Station North,2,380,Yes,0,200,200,200,200,200,200,200
East Hills Station,East Hills Station North,East Hills Station South,3,160,Yes,1400,200,145,180,195,145,180,195
East Hills,East Hills Station South,East Hills Straight,2,1180,Yes,1400,200,145,180,195,145,180,195
East Hills,East Hills Straight,Holsworthy Station East,2,1390,Yes,0,200,200,200,200,200,200,200
Holsworthy Station,Holsworthy Station East,Holsworthy Station West,2,160,Yes,0,200,200,200,200,200,200,200
East Hills,Holsworthy Station West,Moorebank Avenue,2,3270,Yes,0,200,200,200,200,200,200,200
East Hills,Moorebank Avenue,Georges River Bend,2,1230,Yes,2300,200,190,200,200,190,200,200
East Hills,Georges River Bend,Glenfield Split North,2,740,Yes,900,200,115,145,155,115,145,155
Main South,Cabramatta Station South,Warwick Farm Station North,3,1940,Yes,0,200,200,200,200,200,200,200
Warwick Farm Station,Warwick Farm Station North,Warwick Farm Station South,3,170,Yes,0,200,200,200,200,200,200,200
Main South,Warwick Farm Station South,Warwick Farm Bend,3,370,Yes,0,200,200,200,200,200,200,200
Main South,Warwick Farm Bend,Liverpool Station North,4,1020,Yes,800,200,110,135,145,110,135,145
Liverpool Station,Liverpool Station North,Liverpool Station South,5,170,Yes,0,200,200,200,200,200,200,200
Main South,Liverpool Station South,Liverpool Yards,5,140,Yes,0,200,200,200,200,200,200,200
Main South,Liverpool Yards,Liverpool Bend,4,280,Yes,0,200,200,200,200,200,200,200
Main South,Liverpool Bend,Liverpool Straight,3,320,Yes,1300,200,140,175,190,140,175,190
Main South,Liverpool Straight,Casula Curves,3,1550,Yes,0,200,200,200,200,200,200,200
Main South,Casula Curves,Casula Station North,3,650,Yes,900,200,115,145,155,115,145,155
Casula Station,Casula Station North,Casula Station South,3,160,Yes,900,200,115,145,155,115,145,155
Main South,Casula Station South,Glenfield Creek,3,210,Yes,700,200,100,125,135,100,125,135
Main South,Glenfield Creek,Moorebank Terminal North,3,400,Yes,1100,200,130,160,175,130,160,175
Main South,Moorebank Terminal North,Moorebank Terminal South,4,410,Yes,1100,200,130,160,175,130,160,175
Main South,Moorebank Terminal South,Glenfield Split North,4,1120,Yes,0,200,200,200,200,200,200,200
Moorebank Junction,Moorebank Terminal North,Moorebank Terminal,2,390,Yes,300,200,65,80,85,65,80,85
Moorebank Junction,Moorebank Terminal South,Moorebank Terminal,2,280,Yes,150,200,45,55,60,45,55,60
Main South,Glenfield Split North,Glenfield Station North,5,870,Yes,0,200,200,200,200,200,200,200
Glenfield Station,Glenfield Station North,Glenfield Station South,5,170,Yes,0,200,200,200,200,200,200,200
Main South,Glenfield Station South,Glenfield Split South,7,350,Yes,0,200,200,200,200,200,200,200
Main South,Glenfield Split South,Bunbury Curran Creek,5,280,Yes,0,200,200,200,200,200,200,200
Main South,Bunbury Curran Creek,Macquarie Fields Station North,3,1090,Yes,0,200,200,200,200,200,200,200
Macquarie Fields Station,Macquarie Fields Station North,Macquarie Fields Station South,3,160,Yes,0,200,200,200,200,200,200,200
Main South,Macquarie Fields Station South,Ingleburn Station North,3,1690,Yes,0,200,200,200,200,200,200,200
Ingleburn Station,Ingleburn Station North,Ingleburn Station South,3,160,Yes,0,200,200,200,200,200,200,200
Main South,Ingleburn Station South,Bow Bowing Creek,3,1660,Yes,0,200,200,200,200,200,200,200
Main South,Bow Bowing Creek,Kayess Park Straight,3,970,Yes,0,200,200,200,200,200,200,200
Main South,Kayess Park Straight,Minto Station North,3,1240,Yes,0,200,200,200,200,200,200,200
Minto Station,Minto Station North,Minto Station South,3,160,Yes,0,200,200,200,200,200,200,200
Main South,Minto Station South,Minto Freight Yards North,3,260,Yes,0,200,200,200,200,200,200,200
Main South,Minto Freight Yards North,Minto Freight Yards South,3,890,Yes,0,200,200,200,200,200,200,200
Main South,Minto Freight Yards South,Minto Curve,3,860,Yes,0,200,200,200,200,200,200,200
Main South,Minto Curve,Leumeah Straight,3,560,Yes,1000,200,125,150,165,125,150,165
Main South,Leumeah Straight,Leumeah Station East,3,230,Yes,0,200,200,200,200,200,200,200
Leumeah Station,Leumeah Station East,Leumeah Station West,3,170,Yes,0,200,200,200,200,200,200,200
Main South,Leumeah Station West,Rose St Split,3,1040,Yes,0,200,200,200,200,200,200,200
Main South,Rose St Split,Campbelltown Station North,4,820,Yes,0,200,200,200,200,200,200,200
Campbelltown Station,Campbelltown Station North,Campbelltown Station South,4,200,Yes,0,200,200,200,200,200,200,200
Main South,Campbelltown Station South,Campbelltown Curve,4,540,Yes,0,200,200,200,200,200,200,200
Main South,Campbelltown Curve,Campbelltown Yards,4,440,Yes,1900,200,170,200,200,170,200,200
Main South,Campbelltown Yards,Campbelltown Straight,3,220,Yes,1900,200,170,200,200,170,200,200
Main South,Campbelltown Straight,Macarthur Station East,3,490,Yes,0,200,200,200,200,200,200,200
Macarthur Station,Macarthur Station East,Macarthur Station West,3,170,Yes,0,200,200,200,200,200,200,200
South West,Glenfield Split South,Glenfield Bend,2,530,Yes,400,200,75,95,100,75,95,100
South West,Glenfield Bend,Edmondson Park Straight,2,870,Yes,1600,200,155,195,200,155,195,200
South West,Edmondson Park Straight,Edmondson Park Station East,2,1560,Yes,0,200,200,200,200,200,200,200
Edmondson Park Station,Edmondson Park Station East,Edmondson Park Station West,2,170,Yes,0,200,200,200,200,200,200,200
South West,Edmondson Park Station West,Leppington Bend,2,2050,Yes,2000,200,175,200,200,175,200,200
South West,Leppington Bend,Leppington Curve,2,1340,Yes,800,200,110,135,145,110,135,145
South West,Leppington Curve,Leppington Station East,2,2080,Yes,3000,200,200,200,200,200,200,200
Leppington Station,Leppington Station East,Leppington Station West,4,170,Yes,0,200,200,200,200,200,200,200
South West,Leppington Station West,Leppington Depot,2,1660,Yes,0,200,200,200,200,200,200,200
Cronulla,Sutherland Split,Sutherland Bend,2,630,Yes,300,200,65,80,85,65,80,85
Cronulla,Sutherland Bend,Glencoe Street Bushcare,2,300,Yes,500,200,85,105,115,85,105,115
Cronulla,Glencoe Street Bushcare,Kirrawee Station West,2,760,Yes,700,200,100,125,135,100,125,135
Kirrawee Station,Kirrawee Station West,Kirrawee Station East,2,190,Yes,700,200,100,125,135,100,125,135
Cronulla,Kirrawee Station East,Gymea Station West,2,1090,Yes,0,200,200,200,200,200,200,200
Gymea Station,Gymea Station West,Gymea Station East,2,160,Yes,0,200,200,200,200,200,200,200
Cronulla,Gymea Station East,Miranda Station West,2,1450,Yes,0,200,200,200,200,200,200,200
Miranda Station,Miranda Station West,Miranda Station East,2,170,Yes,0,200,200,200,200,200,200,200
Cronulla,Miranda Station East,Caringbah Curve,2,1060,Yes,2700,200,200,200,200,200,200,200
Cronulla,Caringbah Curve,Caringbah Station West,2,730,Yes,900,200,115,145,155,115,145,155
Caringbah Station,Caringbah Station West,Caringbah Station East,2,160,Yes,0,200,200,200,200,200,200,200
Cronulla,Caringbah Station East,Caringbah Bend,2,240,Yes,400,200,75,95,100,75,95,100
Cronulla,Caringbah Bend,Woolooware Curve,2,1110,Yes,0,200,200,200,200,200,200,200
Cronulla,Woolooware Curve,Woolooware Bend,2,480,Yes,1400,200,145,180,195,145,180,195
Cronulla,Woolooware Bend,Woolooware Station West,2,110,Yes,500,200,85,105,115,85,105,115
Woolooware Station,Woolooware Station West,Woolooware Station East,2,170,Yes,500,200,85,105,115,85,105,115
Cronulla,Woolooware Station East,Cronulla Curve,2,240,Yes,500,200,85,105,115,85,105,115
Cronulla,Cronulla Curve,Cronulla Station North,2,630,Yes,700,200,100,125,135,100,125,135
Cronulla Station,Cronulla Station North,Cronulla Station South,1,200,Yes,700,200,100,125,135,100,125,135
Eastern Suburbs,Town Hall Station North,Martin Place Station West,2,750,Yes,300,200,65,80,85,65,80,85
Martin Place Station,Martin Place Station West,Martin Place Station East,2,160,Yes,0,200,200,200,200,200,200,200
Eastern Suburbs,Martin Place Station East,Kings Cross Station West,2,1160,Yes,700,200,100,125,135,100,125,135
Kings Cross Station,Kings Cross Station West,Kings Cross Station East,2,160,Yes,700,200,100,125,135,100,125,135
Eastern Suburbs,Kings Cross Station East,Kings Cross Bend,2,430,Yes,600,200,95,115,125,95,115,125
Eastern Suburbs,Kings Cross Bend,Edgecliff Station West,2,860,Yes,900,200,115,145,155,115,145,155
Edgecliff Station,Edgecliff Station West,Edgecliff Station East,2,160,Yes,900,200,115,145,155,115,145,155
Eastern Suburbs,Edgecliff Station East,Woollhara North,2,820,Yes,800,200,110,135,145,110,135,145
Eastern Suburbs,Woollhara North,Woollhara South,2,160,Yes,800,200,110,135,145,110,135,145
Eastern Suburbs,Woollhara South,Bondi Junction Station West,2,770,Yes,500,200,85,105,115,85,105,115
Bondi Junction Station,Bondi Junction Station West,Bondi Junction Station East,2,160,Yes,500,200,85,105,115,85,105,115